"County","ApacheCounty","CochiseCounty","CoconinoCounty","GilaCounty","GrahamCounty","GreenleeCounty","LaPazCounty","MaricopaCounty","MohaveCounty","NavajoCounty","PimaCounty","PinalCounty","SantaCruzCounty","YavapaiCounty","YumaCounty"
"ApacheCounty",54.5,385.9,173.4,253.8,290.6,249.5,399.8,314.7,327.8,84,336.7,286.8,388.3,270.5,481.9
"CochiseCounty",385.9,40.6,386.5,201,98.1,135.1,328.7,199.7,391.2,350.4,89.8,151.3,78.2,303.3,307.6
"CoconinoCounty",173.4,386.5,70.3,231.5,333.7,338,271.8,186.7,199.8,143.6,312.8,248,364.4,142.5,354
"GilaCounty",253.8,201,231.5,35.6,105.6,155.9,245.9,116.9,308.4,208.3,151.8,91.9,203.3,178,276.7
"GrahamCounty",290.6,98.1,333.7,105.6,35.1,53,292.6,163.6,355,255,142.3,138.5,157.2,267.2,323.3
"GreenleeCounty",249.5,135.1,338,155.9,53,22.1,342.8,213.9,405.3,259.3,179.3,188.8,194.2,317.5,397.1
"LaPazCounty",399.8,328.7,271.8,245.9,292.6,342.8,34.6,133.5,142.8,328.4,255,190.2,306.5,140.1,121
"MaricopaCounty",314.7,199.7,186.7,116.9,163.6,213.9,133.5,49.4,192.2,243.4,126,61.2,177.6,103.5,172.5
"MohaveCounty",327.8,391.2,199.8,308.4,355,405.3,142.8,192.2,59.7,256.4,317.5,252.6,369,145.2,221.5
"NavajoCounty",84,350.4,143.6,208.4,255,259.3,328.4,243.4,256.4,51.3,301.1,304.6,352.7,199.2,410.6
"PimaCounty",336.7,89.8,312.8,151.8,142.3,179.3,255,126,317.5,301.1,49.3,77.6,65.3,229.6,233.9
"PinalCounty",286.8,151.3,248,91.9,138.5,188.8,190.2,61.2,252.6,304.6,77.6,37.7,129.1,164.8,188.1
"SantaCruzCounty",388.3,78.2,364.4,203.3,157.2,194.2,306.5,177.6,369,352.7,65.3,129.1,18.1,281.2,285.5
"YavapaiCounty",270.5,303.3,142.5,178,267.2,317.5,140.1,103.5,145.2,199.2,229.6,164.8,281.2,46.4,221.2
"YumaCounty",481.9,307.6,354,276.7,323.3,397.1,121,172.5,221.5,410.6,233.9,188.1,285.5,221.2,38.2
