County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
AllenCounty,2608,1018,1522,4073,1705,2445
AndersonCounty,1721,522,775,2465,986,1633
AtchisonCounty,3391,1536,2476,5036,1884,2601
BarberCounty,873,322,498,1478,699,991
BartonCounty,5627,2007,3387,8549,3416,4688
BourbonCounty,3232,1225,1786,4358,1944,2628
BrownCounty,2079,688,1001,3031,1356,1829
ButlerCounty,14565,5276,7519,22392,7801,8327
ChaseCounty,504,161,250,860,424,591
ChautauquaCounty,600,237,334,1073,529,896
CherokeeCounty,4496,1436,2303,7135,2785,3448
CheyenneCounty,461,166,197,789,396,717
ClarkCounty,453,147,185,647,296,487
ClayCounty,1668,528,795,2615,1185,1744
CloudCounty,1736,790,1143,2687,1229,1948
CoffeyCounty,1703,585,764,2835,1231,1483
ComancheCounty,364,94,149,550,279,455
CowleyCounty,7363,2816,4628,11296,4482,5726
CrawfordCounty,7303,3206,7826,11121,4215,5463
DecaturCounty,462,139,214,862,476,808
DickinsonCounty,4003,1338,1963,6467,2417,3566
DoniphanCounty,1442,774,930,2485,1028,1286
DouglasCounty,17816,10489,30105,31961,10588,9867
EdwardsCounty,584,188,263,1004,417,581
ElkCounty,488,174,231,822,467,700
EllisCounty,5074,2202,6218,8000,3129,3829
EllsworthCounty,984,341,861,2202,881,1228
FinneyCounty,9920,3183,5200,11922,3462,3089
FordCounty,8852,2798,5060,10730,3031,3377
FranklinCounty,5643,1888,3077,8684,3027,3673
GearyCounty,9247,2326,7211,10356,2594,2628
GoveCounty,499,151,245,748,405,647
GrahamCounty,410,130,229,781,381,666
GrantCounty,2087,560,967,2524,871,820
GrayCounty,1501,473,683,1939,649,761
GreeleyCounty,217,80,119,405,165,261
GreenwoodCounty,1224,368,587,2044,981,1485
HamiltonCounty,651,179,384,822,288,366
HarperCounty,1166,374,580,1752,855,1307
HarveyCounty,7341,2513,4045,10683,4159,5943
HaskellCounty,1075,379,436,1386,524,456
HodgemanCounty,369,136,153,618,244,396
JacksonCounty,2946,905,1272,4479,1787,2073
JeffersonCounty,3820,1317,1735,6652,2650,2952
JewellCounty,459,150,233,835,537,863
JohnsonCounty,119948,34414,68028,198973,63494,59322
KearnyCounty,971,340,440,1228,463,535
KingmanCounty,1532,530,751,2436,1039,1570
KiowaCounty,425,247,292,752,355,482
LabetteCounty,4324,1584,2477,6847,2788,3587
LaneCounty,319,109,146,537,270,369
LeavenworthCounty,15972,4926,8962,28837,9104,8426
LincolnCounty,638,189,262,993,500,659
LinnCounty,1851,586,830,3061,1461,1867
LoganCounty,515,175,265,871,358,572
LyonCounty,6622,2754,6483,9908,3710,4213
McPhersonCounty,5685,1953,3424,9072,3707,5339
MarionCounty,2294,960,1311,3782,1672,2641
MarshallCounty,1960,567,992,3129,1335,2134
MeadeCounty,1074,358,415,1442,501,785
MiamiCounty,7315,2285,3060,11859,3981,4287
MitchellCounty,1135,450,656,1860,931,1341
MontgomeryCounty,6979,2701,4281,10898,4456,6156
MorrisCounty,1035,352,517,1836,861,1322
MortonCounty,719,246,326,1018,376,548
NemahaCounty,2166,687,912,3187,1177,2049
NeoshoCounty,3369,1236,1809,5146,2086,2866
NessCounty,572,165,273,924,410,763
NortonCounty,895,332,683,2012,692,1057
OsageCounty,3307,1102,1466,5439,2208,2773
OsborneCounty,637,249,337,1148,513,974
OttawaCounty,1247,414,478,2091,795,1066
PawneeCounty,1188,534,750,2282,1004,1215
PhillipsCounty,1123,350,475,1693,861,1140
PottawatomieCounty,5358,1586,2502,7091,2407,2660
PrattCounty,1841,725,1228,2796,1244,1822
RawlinsCounty,377,143,212,688,427,672
RenoCounty,12739,4445,8006,20102,8225,10994
RepublicCounty,768,267,400,1427,771,1347
RiceCounty,1987,831,1293,2957,1214,1801
RileyCounty,11484,7408,26139,16019,4857,5208
RooksCounty,1007,339,512,1587,712,1024
RushCounty,517,194,263,1025,512,796
RussellCounty,1217,392,682,2110,981,1588
SalineCounty,11538,3919,7379,18008,6760,8002
ScottCounty,1043,296,491,1549,657,900
SedgwickCounty,113487,35231,72245,164993,55440,56969
SewardCounty,6224,1995,3604,7283,1898,1948
ShawneeCounty,36840,11732,23221,57418,23111,25612
SheridanCounty,506,131,195,805,356,563
ShermanCounty,1145,385,726,1818,791,1145
SmithCounty,617,232,278,1142,566,1018
StaffordCounty,845,270,428,1378,586,930
StantonCounty,537,171,248,698,233,348
StevensCounty,1452,442,668,1851,559,752
SumnerCounty,5149,1689,2468,7922,3118,3786
ThomasCounty,1508,747,1136,2346,947,1216
TregoCounty,465,196,218,948,471,703
WabaunseeCounty,1506,427,630,2382,997,1111
WallaceCounty,288,119,125,450,200,303
WashingtonCounty,1071,361,495,1753,776,1343
WichitaCounty,505,135,199,709,285,401
WilsonCounty,1856,603,932,2911,1294,1813
WoodsonCounty,565,147,317,1001,529,750
WyandotteCounty,37537,11153,23357,52293,16360,16805
