County,Metropolitan,Town,Rural
AdamsCounty,0,0,0
AllenCounty,0,0,0
AshlandCounty,0,0,0
AshtabulaCounty,0,0,0
AthensCounty,0,0,0
AuglaizeCounty,0,0,0
BelmontCounty,0,0,0
BrownCounty,0,0,0
ButlerCounty,0,0,0
CarrollCounty,0,0,0
ChampaignCounty,0,0,0
ClarkCounty,0,0,0
ClermontCounty,0,0,0
ClintonCounty,0,0,0
ColumbianaCounty,0,0,0
CoshoctonCounty,0,0,0
CrawfordCounty,0,0,0
CuyahogaCounty,0,0,0
DarkeCounty,0,0,0
DefianceCounty,0,0,0
DelawareCounty,0,0,0
ErieCounty,0,0,0
FairfieldCounty,0,0,0
FayetteCounty,0,0,0
FranklinCounty,0,0,0
FultonCounty,0,0,0
GalliaCounty,0,0,0
GeaugaCounty,0,0,0
GreeneCounty,0,0,0
GuernseyCounty,0,0,0
HamiltonCounty,0,0,0
HancockCounty,0,0,0
HardinCounty,0,0,0
HarrisonCounty,0,0,0
HenryCounty,0,0,0
HighlandCounty,0,0,0
HockingCounty,0,0,0
HolmesCounty,0,0,0
HuronCounty,0,0,0
JacksonCounty,0,0,0
JeffersonCounty,0,0,0
KnoxCounty,0,0,0
LakeCounty,0,0,0
LawrenceCounty,0,0,0
LickingCounty,0,0,0
LoganCounty,0,0,0
LorainCounty,0,0,0
LucasCounty,0,0,0
MadisonCounty,0,0,0
MahoningCounty,0,0,0
MarionCounty,0,0,0
MedinaCounty,0,0,0
MeigsCounty,0,0,0
MercerCounty,0,0,0
MiamiCounty,0,0,0
MonroeCounty,0,0,0
MontgomeryCounty,0,0,0
MorganCounty,0,0,0
MorrowCounty,0,0,0
MuskingumCounty,0,0,0
NobleCounty,0,0,0
OttawaCounty,0,0,0
PauldingCounty,0,0,0
PerryCounty,0,0,0
PickawayCounty,0,0,0
PikeCounty,0,0,0
PortageCounty,0,0,0
PrebleCounty,0,0,0
PutnamCounty,0,0,0
RichlandCounty,0,0,0
RossCounty,0,0,0
SanduskyCounty,0,0,0
SciotoCounty,0,0,0
SenecaCounty,0,0,0
ShelbyCounty,0,0,0
StarkCounty,0,0,0
SummitCounty,0,0,0
TrumbullCounty,0,0,0
TuscarawasCounty,0,0,0
UnionCounty,0,0,0
VanWertCounty,0,0,0
VintonCounty,0,0,0
WarrenCounty,0,0,0
WashingtonCounty,0,0,0
WayneCounty,0,0,0
WilliamsCounty,0,0,0
WoodCounty,0,0,0
WyandotCounty,0,0,0
