Value,Area,Fwy,Art,Other
BusVmt,Abilene,,,
TruckVmt,Abilene,,,
BusVmt,Amarillo,,,
TruckVmt,Amarillo,,,
BusVmt,CollegeStationBryan,,,
TruckVmt,CollegeStationBryan,,,
BusVmt,CorpusChristi,,,
TruckVmt,CorpusChristi,,,
BusVmt,DallasFortWorthArlington,,,
TruckVmt,DallasFortWorthArlington,,,
BusVmt,ElPaso,,,
TruckVmt,ElPaso,,,
BusVmt,Houston,,,
TruckVmt,Houston,,,
BusVmt,Killeen,,,
TruckVmt,Killeen,,,
BusVmt,Laredo,,,
TruckVmt,Laredo,,,
BusVmt,Longview,,,
TruckVmt,Longview,,,
BusVmt,Lubbock,,,
TruckVmt,Lubbock,,,
BusVmt,McAllen,,,
TruckVmt,McAllen,,,
BusVmt,Odessa,,,
TruckVmt,Odessa,,,
BusVmt,PortArthur,,,
TruckVmt,PortArthur,,,
BusVmt,SanAngelo,,,
TruckVmt,SanAngelo,,,
BusVmt,SanAntonio,,,
TruckVmt,SanAntonio,,,
BusVmt,Sherman,,,
TruckVmt,Sherman,,,
BusVmt,TexarkanaTexarkana,,,
TruckVmt,TexarkanaTexarkana,,,
BusVmt,Tyler,,,
TruckVmt,Tyler,,,
BusVmt,Victoria,,,
TruckVmt,Victoria,,,
BusVmt,Waco,,,
TruckVmt,Waco,,,
BusVmt,WichitaFalls,,,
TruckVmt,WichitaFalls,,,
