,Auto,LtTruck
0,0.041850592,0.041852152
1,0.10185166,0.094802498
2,0.15428856,0.131845207
3,0.216344114,0.198728572
4,0.288094859,0.273473251
5,0.357442099,0.353411184
6,0.423402712,0.438147969
7,0.485885075,0.528594788
8,0.550782185,0.606996112
9,0.613248658,0.677470044
10,0.669295765,0.734680967
11,0.725240613,0.790087942
12,0.769854609,0.834666492
13,0.807581767,0.868317177
14,0.839747627,0.899268492
15,0.86431343,0.92142387
16,0.887603856,0.941474265
17,0.904561935,0.957217566
18,0.917216491,0.966862495
19,0.927018699,0.973694292
20,0.935042997,0.978872907
21,0.94234105,0.983663502
22,0.94867419,0.987982275
23,0.954154805,0.991410209
24,0.95890226,0.994153266
25,0.963018571,0.996315866
26,0.96659101,0.997998763
27,0.969694309,0.998947558
28,0.97239253,0.99936688
29,0.974740642,0.999562686
30,0.987370321,0.999781343
31,0.993685161,0.999890672
32,1,1
